,title,link
33,Delhi eases lockdown rules. What will open from Monday,news.google.com/./articles/CAIiEA_HoeyNqg60BpEnoImVSHIqFwgEKg4IACoGCAoww7k_MMevCDC0rdgG?uo=CAUie2h0dHBzOi8vd3d3LmhpbmR1c3RhbnRpbWVzLmNvbS9jaXRpZXMvZGVsaGktbmV3cy9kZWxoaS1lYXNlcy1sb2NrZG93bi1ydWxlcy13aGF0LXdpbGwtb3Blbi1mcm9tLW1vbmRheS0xMDE2MjI4Nzg1Njk4MTAuaHRtbNIBAA&hl=en-IN&gl=IN&ceid=IN%3Aen
34,Telangana lockdown to be extended further? CM KCR to take call on 8 June,news.google.com/./articles/CAIiEEXWROMm2LQdPKClhlfZ_fcqFwgEKg4IACoGCAowxLQ_MNevCDCyrdsG?uo=CAUif2h0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9uZXdzL2luZGlhL3RlbGFuZ2FuYS1sb2NrZG93bi10by1iZS1leHRlbmRlZC1mdXJ0aGVyLWNtLWtjci10by10YWtlLWNhbGwtb24tOC1qdW5lLTExNjIyOTcwODEzMzQzLmh0bWzSAQA&hl=en-IN&gl=IN&ceid=IN%3Aen
35,Jharkhand announces 38-hour lockdown starting June 12. All you need to know,news.google.com/./articles/CAIiEHUshrFsp0Y7YPFnD2dlWAkqFwgEKg4IACoGCAoww7k_MMevCDCDuK0G?uo=CAUikQFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vY2l0aWVzL3JhbmNoaS1uZXdzL2poYXJraGFuZC1hbm5vdW5jZXMtMzgtaG91ci1sb2NrZG93bi1zdGFydGluZy1qdW5lLTEyLWFsbC15b3UtbmVlZC10by1rbm93LTEwMTYyMzI1NTkxNjI1MC5odG1s0gEA&hl=en-IN&gl=IN&ceid=IN%3Aen
36,Bangladesh deploys army as strict week-long COVID lockdown begins,news.google.com/./articles/CAIiEJrTPTd5-f0pi_QQDrEGaOEqFQgEKgwIACoFCAowhgIwkDgwsPqTBw?hl=en-IN&gl=IN&ceid=IN%3Aen
37,Stricter Covid-19 lockdown keeps Malaysia's Klang Valley quiet even without massive enforcement,news.google.com/./articles/CAIiEI-uvqMa5FTfPwGzLpYO6lQqGQgEKhAIACoHCAow_7X3CjCh49YCMMa2pwU?hl=en-IN&gl=IN&ceid=IN%3Aen
38,Tamil Nadu Covid lockdown news: State government cancels Class 12 board examinations due to coronavirus situation,news.google.com/./articles/CBMihwFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9jaXR5L2NoZW5uYWkvdGFtaWwtbmFkdS1jaGVubmFpLWxvY2tkb3duLWNvdmlkLWNhc2VzLWxpdmUtdXBkYXRlcy00LWp1bmUtMjAyMS9saXZlYmxvZy84MzIyMzEwNi5jbXPSAYsBaHR0cHM6Ly90aW1lc29maW5kaWEuaW5kaWF0aW1lcy5jb20vY2l0eS9jaGVubmFpL3RhbWlsLW5hZHUtY2hlbm5haS1sb2NrZG93bi1jb3ZpZC1jYXNlcy1saXZlLXVwZGF0ZXMtNC1qdW5lLTIwMjEvYW1wX2xpdmVibG9nLzgzMjIzMTA2LmNtcw?hl=en-IN&gl=IN&ceid=IN%3Aen
39,Live updates: Telangana extends the lockdown till June 19,news.google.com/./articles/CBMioAFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9jaXR5L2xpdmUtbmV3cy1mcm9tLWNpdGllcy1uaWdodC1jdXJmZXctbG9ja2Rvd24taW4tdXAtcmFqYXN0aGFuLW1wLWpoYXJraGFuZC1jaGhhdHRpc2dhcmgtOC1qdW5lLTIwMjEvbGl2ZWJsb2cvODMzMjcxMDYuY21z0gGkAWh0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL2NpdHkvbGl2ZS1uZXdzLWZyb20tY2l0aWVzLW5pZ2h0LWN1cmZldy1sb2NrZG93bi1pbi11cC1yYWphc3RoYW4tbXAtamhhcmtoYW5kLWNoaGF0dGlzZ2FyaC04LWp1bmUtMjAyMS9hbXBfbGl2ZWJsb2cvODMzMjcxMDYuY21z?hl=en-IN&gl=IN&ceid=IN%3Aen
40,Cases continue to rise as federal government announces pandemic exit plan – as it happened,news.google.com/./articles/CAIiENxST6tONfAwZZrZp4YOC1kqGQgEKhAIACoHCAow1OuiCzCX9roDMIrJgQc?hl=en-IN&gl=IN&ceid=IN%3Aen
41,Lockdown extended for Brisbane and Moreton Bay but lifted tonight for other parts of Queensland,news.google.com/./articles/CAIiEF2piBKrHgprXhT_czWPlewqFwgEKg4IACoGCAow3vI9MPeaCDD6kIkG?hl=en-IN&gl=IN&ceid=IN%3Aen
42,'We thought we were Australian': Melbourne tower lockdown lives on in legacy of trauma,news.google.com/./articles/CAIiEDBjVrRjkIF6LXVhhwea4m0qGQgEKhAIACoHCAow1OuiCzCX9roDMK7DgQc?hl=en-IN&gl=IN&ceid=IN%3Aen
43,Kerala enters stepped-up COVID-19 lockdown phase till June 9,news.google.com/./articles/CBMifmh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9uZXdzL25hdGlvbmFsL2tlcmFsYS9rZXJhbGEtZW50ZXJzLXN0ZXBwZWQtdXAtY292aWQtMTktbG9ja2Rvd24tcGhhc2UtdGlsbC1qdW5lLTkvYXJ0aWNsZTM0NzM0MjIzLmVjZdIBgwFodHRwczovL3d3dy50aGVoaW5kdS5jb20vbmV3cy9uYXRpb25hbC9rZXJhbGEva2VyYWxhLWVudGVycy1zdGVwcGVkLXVwLWNvdmlkLTE5LWxvY2tkb3duLXBoYXNlLXRpbGwtanVuZS05L2FydGljbGUzNDczNDIyMy5lY2UvYW1wLw?hl=en-IN&gl=IN&ceid=IN%3Aen
44,Is Tomorrow Lockdown? Use This Website to Find Out.,news.google.com/./articles/CAIiEMwpJHaCGZCBU7xDhpSxt4oqMwgEKioIACIQJbve6wuK-o8JJ5BGxJS9FCoUCAoiECW73usLivqPCSeQRsSUvRQwqKiHBw?hl=en-IN&gl=IN&ceid=IN%3Aen
45,"Coronavirus LIVE: Kerala reports 13,658 new cases; 4,506 in Tamil Nadu",news.google.com/./articles/CAIiEKQRPFNjNcLR--MVO7NKR70qGQgEKhAIACoHCAowsLXdCjCm3dEBMOThpAM?uo=CAUirgFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vYXJ0aWNsZS9jdXJyZW50LWFmZmFpcnMvY29yb25hdmlydXMtbGl2ZS11cGRhdGVzLWluZGlhLWxvY2tkb3duLWNvdmlkLXZhY2NpbmUtZGVsdGEtdmFyaWFudC1jb3JvbmEtZGVhdGgtdG9sbC1oaWdobGlnaHRzLTEyMTA2MzAwMDEyNl8xLmh0bWzSAQA&hl=en-IN&gl=IN&ceid=IN%3Aen
46,Malaysia's Recent Surge In COVID Infections Leads To A New Lockdown And New Worries,news.google.com/./articles/CAIiEBVkr8QCOloLiZehYKmnFeQqFggEKg4IACoGCAow9vBNMK3UCDCvpUk?hl=en-IN&gl=IN&ceid=IN%3Aen
